"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"39","RT @HealthFirstDE: Avoiding this season’s #flu or #cold might be hard, but here are ways to treat your symptoms on a budget. #netDE https:/…",FALSE,0,NA,2019-03-05 17:43:01,FALSE,NA,"1102987893780463618",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","epicmc2",1,TRUE,FALSE,NA,NA
"40","RT @WebMD: Only your doctor can tell for sure if your sore throat is just from dry winter air, a cold, or a more serious bacterial infectio…",FALSE,0,NA,2019-03-05 17:42:27,FALSE,NA,"1102987752151441409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iwiese13",11,TRUE,FALSE,NA,NA
"41","According to Google... Cold and flu season can last until April or May?! No. No no no no no no no.",FALSE,1,NA,2019-03-05 17:39:00,FALSE,NA,"1102986886400933889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarinaBelisle",0,FALSE,FALSE,NA,NA
"42","Is it a cold, or the flu? Learn how you can tell the difference: https://t.co/e66KK68YjO https://t.co/wrYBQnHQAy",FALSE,0,NA,2019-03-05 17:11:01,FALSE,NA,"1102979840985235459",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Hoosiersvaccin8",0,FALSE,FALSE,NA,NA
"43","RT @deputy26mcsd: This flu or cold that I have is about to take me out of the game.",FALSE,0,NA,2019-03-05 17:02:17,FALSE,NA,"1102977644738551814",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StegemanTiffani",1,TRUE,FALSE,NA,NA
"44","Woke up with the winter cold/flu/whatever and am in pain please send pictures of you with your pet in case this is… https://t.co/8e6RLEmvq0",FALSE,43,NA,2019-03-05 16:47:24,TRUE,NA,"1102973900462292992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AdamSinger",0,FALSE,FALSE,NA,NA
"45","Avoiding this season’s #flu or #cold might be hard, but here are ways to treat your symptoms on a budget. #netDE https://t.co/snD5Fq6szu",FALSE,4,NA,2019-03-05 16:46:40,FALSE,NA,"1102973712796667907",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HealthFirstDE",1,FALSE,FALSE,NA,NA
"46","@Heatherwaz1 Oooh no! Did you have pain in your sinuses too? I’m worried I’m getting the flu/cold <U+0001F61F>",FALSE,0,"Heatherwaz1",2019-03-05 16:45:56,FALSE,"1102973312479711232","1102973530306695168","855110334033670145","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jillydukez",0,FALSE,FALSE,NA,NA
"47","Even if you're not aware of it, it's likely that your emotions will influence someone around you today.

Emotions c… https://t.co/pUZipwxlep",FALSE,1,NA,2019-03-05 16:45:15,TRUE,NA,"1102973358709329921",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","westsidehealth",0,FALSE,FALSE,NA,NA
"48","flu is not welcomed at all in this cold temperature <U+0001F32C>",FALSE,0,NA,2019-03-05 16:33:14,FALSE,NA,"1102970333613690880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_bkriiii",0,FALSE,FALSE,NA,NA
"49","Combating Cold and Flu Naturally https://t.co/9rfq4rdJ1r https://t.co/BLZ0zazD4h",FALSE,0,NA,2019-03-05 16:29:33,FALSE,NA,"1102969405586079744",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","B_brookPatch",0,FALSE,FALSE,NA,NA
